Muhammad Yousuf/43304-2042545-5

Atif Aslam/43344-6052684-2

Shoaib Malik/43224-5662735-4

Waqar Younus/41306-2672743-5

Abdul Razzaq/43459-8083844-7

Imran Nazir/43347-7544337-9

Rashid Latif/43357-3642353-8

Shahid Afridi/43464-7062543-3

Moin Khan/43304-2042345-4

Waseem Akram/43204-2032547-3

Alishay khan/33204-2032547-3


Ayesha Khan/35204-2032547-3

Noor Ahmad/24404-2032547-3

Alishka Ahmed/35204-2032547-3

Abdul Ahmed/43959-8083844-7

Aliya Noor/63204-2032547-3

Sadia Khan/63204-2232547-3

Sadia Noor/4563-5573777-3

ALi Asad/2324-1234567-3

Sadia Naz/4563-5589777-3

Fareeha Ahmad/63204-2652547-3

Arfa Ahmad/68204-2652547-3

Arfa/78204-2652547-3s

Arfa B/88204-2652547-3

Arfa C/98204-2652547-3

Arfa D/28204-2652547-3

Arfa E/38204-2652547-3


Arfa Khan/32014-8902547-3

Ali Asad/32154-1234567-3

Nadeem Iqbal/33456-0987609-4

Sadia Sadiq/33568-9256789-0

Alia Iqbal/33456-0985879-4
